,REPORT
2763,1. there are grouped calcification in the lower inner left breast at anterior depth.
2764,1. there are grouped calcification in the lower inner left breast at mid depth.
2765,1. there are grouped calcification in the lower inner left breast at posterior depth.
2766,1. there are grouped calcification in the subareolar left breast.
2767,1. there are grouped calcification in the subareolar left breast at anterior depth.
2768,1. there are grouped calcification in the subareolar left breast at mid depth.
2769,1. there are grouped calcification in the subareolar left breast at posterior depth.
2770,1. there are clustered calcification in the left breast.
2771,1. there are clustered calcification in the left breast at anterior depth.
2772,1. there are clustered calcification in the left breast at mid depth.
2773,1. there are clustered calcification in the left breast at posterior depth.
2774,1. there are clustered calcification in the upper left breast.
2775,1. there are clustered calcification in the upper left breast at anterior depth.
2776,1. there are clustered calcification in the upper left breast at mid depth.
2777,1. there are clustered calcification in the upper left breast at posterior depth.
2778,1. there are clustered calcification in the lower left breast.
2779,1. there are clustered calcification in the lower left breast at anterior depth.
2780,1. there are clustered calcification in the lower left breast at mid depth.
2781,1. there are clustered calcification in the lower left breast at posterior depth.
2782,1. there are clustered calcification in the inner left breast.
2783,1. there are clustered calcification in the inner left breast at anterior depth.
2784,1. there are clustered calcification in the inner left breast at mid depth.
2785,1. there are clustered calcification in the inner left breast at posterior depth.
2786,1. there are clustered calcification in the outer left breast.
